,metasub_sub_saharan_africa,metasub_north_america,metasub_south_america,metasub_europe,metasub_oceania,metasub_east_asia,metasub_middle_east
Rhizobium phage RR1-B,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Rhizobium phage RR1-A,Never Observed,Never Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Cronobacter phage vB_CsaM_GAP32,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Lactobacillus phage LfeInf,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Cronobacter phage CR5,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Klebsiella phage vB_KpnM_KB57,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Mycobacterium phage Myrna,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Psychrobacter phage pOW20-A,Never Observed,Rarely Observed,Rarely Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Salmonella phage SEN34,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed
Lactobacillus phage KC5a,Never Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Pseudomonas phage VCM,Never Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Synechococcus phage S-SM2,Never Observed,Never Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Synechococcus phage S-WAM1,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Synechococcus phage S-SM1,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed,Rarely Observed
Synechococcus phage S-SSM7,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Synechococcus phage Syn19,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed
Cronobacter phage ENT47670,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed
Enterococcus phage ECP3,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed
Escherichia phage Av-05,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Pseudomonas phage Lu11,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Erwinia phage vB_EamM_Kwan,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Bacillus phage BCD7,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed
Escherichia phage slur16,Never Observed,Never Observed,Rarely Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Klebsiella phage vB_KpnM_KpV477,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Edwardsiella phage PEi20,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Aeromonas phage vB_AsaM-56,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Escherichia phage ECML-117,Rarely Observed,Rarely Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Rarely Observed
Erwinia phage ENT90,Never Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Erwinia phage vB_EamM-Y2,Never Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Acinetobacter phage YMC13/03/R2096,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Synechococcus phage S-ShM2,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Acinetobacter phage vB_AbaM_Acibel004,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Erwinia phage vB_EamM_Huxley,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Pseudomonas phage vB_PsyM_KIL1,Never Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Pectobacterium phage ZF40,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Prochlorococcus phage P-SSM7,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Pseudomonas phage PaBG,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Serratia phage phiMAM1,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Pseudomonas phage phiPsa374,Never Observed,Rarely Observed,Rarely Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Cronobacter phage S13,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Erwinia phage vB_EamM_ChrisDB,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Xanthomonas phage vB_XveM_DIBBI,Never Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Erwinia phage phiEa2809,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Aggregatibacter phage S1249,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed
Lactobacillus phage phi jlb1,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Escherichia phage vB_EcoM_Alf5,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Staphylococcus phage SA1,Rarely Observed,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed
Salmonella phage BPS15Q2,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed
Bacillus phage BM5,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed
Lactobacillus phage phiAQ113,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Pectobacterium phage PM1,Never Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Brevibacillus phage Jimmer1,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed
Erwinia phage phiEt88,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Erwinia phage vB_EamM_EarlPhillipIV,Never Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Klebsiella phage 0507-KN2-1,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Escherichia phage PBECO 4,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Salmonella phage SKML-39,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Dickeya phage RC-2014,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Enterobacteria phage vB_KleM-RaK2,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Klebsiella phage K64-1,Rarely Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Salmonella phage vB_SalM_PM10,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Enterobacter phage Arya,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Klebsiella phage JD001,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Escherichia phage 121Q,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed
Erwinia phage vB_EamM_Phobos,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed
Bacillus phage Mater,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed
Bacillus phage Moonbeam,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed
Acinetobacter phage LZ35,Rarely Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Synechococcus phage S-WAM2,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Cyanophage P-RSM6,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Synechococcus phage S-SSM4,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Synechococcus phage S-RIM2,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Synechococcus phage S-CAM1,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Prochlorococcus phage P-TIM68,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Prochlorococcus phage P-HM1,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Prochlorococcus phage P-RSM4,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Synechococcus phage S-IOM18,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Cyanophage P-RSM1,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Thermus phage phiYS40,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Acinetobacter phage phiAC-1,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Thermus phage TMA,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Rhodothermus phage RM378,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Salmonella phage NR01,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Shigella phage SfIV,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed
Mycobacterium phage Tonenili,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed
Pseudomonas phage vB_PaeM_PS24,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed
Acinetobacter phage vB_AbaM_phiAbaA1,Rarely Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Agrobacterium phage 7-7-1,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Enterobacteria phage phiEcoM-GJ1,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed
Bacillus phage Bp8p-T,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Salmonella phage 21,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Arthrobacter phage BarretLemon,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Salmonella phage GG32,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Salmonella phage 38,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Pseudoalteromonas phage H101,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Escherichia virus 186,Rarely Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Stenotrophomonas phage Smp131,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Escherichia phage pro483,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed
Burkholderia phage KS14,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Burkholderia phage KL3,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Haemophilus virus HP1,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Aeromonas virus phiO18P,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Shigella virus SfMu,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Escherichia phage D108,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Staphylococcus virus MCE2014,Never Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Staphylococcus virus P108,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Staphylococcus virus Rodi,Never Observed,Rarely Observed,Rarely Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Staphylococcus virus S253,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed
Staphylococcus virus SA12,Never Observed,Rarely Observed,Rarely Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Staphylococcus virus G1,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Staphylococcus virus S25-4,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
